field,value
n_scheda,23181
segnatura,LE
noName,"10,111"
cod_sez,LE
n_s_sez,10
autore,"SIENKIEWICZ, HENRYK"
collabor,"VERDINOIS F.,TRAD."
luogo_pub,MILANO
editore,TIP. EDITRICE COGLIATI
data_pub,1900
volume,2025-01-01 00:00:00
pagine,"X,692"
formato,19.5
data_crea,2000-01-24 00:00:00
n_scheda,23180
segnatura,LE
noName,"10,110"
cod_sez,LE
n_s_sez,10
autore,"RUSTHAVELI, SCIOTHA"
collabor,"BERIDZE` S.,TRAD."
edizione,I
luogo_pub,MILANO
editore,BIANCHI-GIOVINI
data_pub,1945
volume,2025-01-01 00:00:00
pagine,"XIII,351"
illustr,ILL.
formato,21.5
data_crea,2000-01-24 00:00:00
n_scheda,23179
segnatura,LE
noName,"10/109,II"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"RICCI UGO,TRAD."
luogo_pub,MILANO
editore,BIETTI
data_pub,1933
volume,2025-02-02 00:00:00
pagine,392
formato,17
data_crea,2000-01-24 00:00:00
n_scheda,23178
segnatura,LE
noName,"10/109,I (I-II)"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"RICCI UGO,TRAD."
luogo_pub,MILANO
editore,BIETTI
data_pub,1933
volume,2025-02-01 00:00:00
pagine,389
formato,17
data_crea,2000-01-24 00:00:00
n_scheda,23177
segnatura,LE
noName,"10,108"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,INVERNIZZI F. / PETROVITCH B. [TRAD. A CURA DI]
luogo_pub,MILANO
editore,EDIZIONI AURORA
data_pub,1935
volume,2025-01-01 00:00:00
pagine,317
formato,18.5
data_crea,2000-01-24 00:00:00
n_scheda,23176
segnatura,LE
noName,"10,107"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"BAZZARELLI E.,TRAD."
edizione,I
luogo_pub,MILANO
editore,MURSIA & C.
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,462
formato,18
note_sp,GRANDE UNIVERSALE MURSIA/CLASSICI ANTICHI E MODERN
data_crea,2000-01-24 00:00:00
n_scheda,23175
segnatura,LE
noName,"10,106"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"ZALAPY LUIGI E.,TRAD."
luogo_pub,SESTO S. GIOVANNI (MI)
editore,EDIZIONI A. BARION
data_pub,1933
volume,2025-01-01 00:00:00
pagine,460
formato,19
data_crea,2000-01-24 00:00:00
n_scheda,23174
segnatura,LE
noName,"10,105"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
luogo_pub,SESTO S. GIOVANNI (MI)
editore,EDIZIONI A. BARION
data_pub,1933
volume,2025-01-01 00:00:00
pagine,319
formato,19
data_crea,2000-01-24 00:00:00
n_scheda,23173
segnatura,LE
noName,"10,104"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
luogo_pub,MILANO
editore,FR.LLI TREVES
data_pub,1895
volume,2025-01-01 00:00:00
pagine,"4 F.P.,300"
formato,19.5
note_sp,BIBLIOTECA AMENA
data_crea,2000-01-24 00:00:00
n_scheda,23172
segnatura,LE
noName,"10,103"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"VETTORI ADRIANO,TRAD."
luogo_pub,FIRENZE
editore,TIP. IL CASTELLACCIO
data_pub,1947
volume,2025-01-01 00:00:00
pagine,"XI,185"
formato,17
data_crea,2000-01-24 00:00:00
n_scheda,23171
segnatura,LE
noName,"10,102"
cod_sez,LE
n_s_sez,10
autore,"TOLSTOI, LEONE"
collabor,"VERDINOIS F.,TRAD."
luogo_pub,NAPOLI
editore,SOC. EDITRICE PARTENOPEA
data_pub,1906
volume,2025-01-01 00:00:00
pagine,149
formato,17.5
