field,value,campo,valore,n_scheda
segnatura,SR,segnatura,SR,41124
noName,109 B,noName,109 B,41124
cod_sez,FL,cod_sez,FL,41124
n_s_sez,16,n_s_sez,16,41124
autore,"BERTELS, C.P.",autore,"BERTELS, C.P.",41124
collabor,PETERSMA E.,collabor,PETERSMA E.,41124
edizione,II,edizione,II,41124
luogo_pub,ROMA,luogo_pub,ROMA,41124
editore,ARMANDO,editore,ARMANDO,41124
data_pub,COPYRIGHT 1995,data_pub,COPYRIGHT 1995,41124
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41124
pagine,237,pagine,237,41124
formato,21,formato,21,41124
collezion,FILOSOFIA,collezion,FILOSOFIA,41124
data_crea,2003-01-04 00:00:00,data_crea,2003-01-04 00:00:00,41124
segnatura,SR,segnatura,SR,41123
noName,109 R2,noName,109 R2,41123
cod_sez,FL,cod_sez,FL,41123
n_s_sez,16,n_s_sez,16,41123
autore,"ROSSI, PAOLO",autore,"ROSSI, PAOLO",41123
edizione,IV,edizione,IV,41123
luogo_pub,BARI,luogo_pub,BARI,41123
editore,LATERZA,editore,LATERZA,41123
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41123
volume,2025-03-03 00:00:00,volume,2025-03-03 00:00:00,41123
pagine,298,pagine,298,41123
formato,20.5,formato,20.5,41123
collezion,FILOSOFIA,collezion,FILOSOFIA,41123
data_crea,2003-01-04 00:00:00,data_crea,2003-01-04 00:00:00,41123
segnatura,SR,segnatura,SR,41122
noName,109 R1,noName,109 R1,41122
cod_sez,FL,cod_sez,FL,41122
n_s_sez,16,n_s_sez,16,41122
autore,"ROSSI, PAOLO",autore,"ROSSI, PAOLO",41122
edizione,IV,edizione,IV,41122
luogo_pub,BARI,luogo_pub,BARI,41122
editore,LATERZA,editore,LATERZA,41122
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41122
volume,2025-03-02 00:00:00,volume,2025-03-02 00:00:00,41122
pagine,342,pagine,342,41122
formato,20.5,formato,20.5,41122
collezion,FILOSOFIA,collezion,FILOSOFIA,41122
data_crea,2003-01-04 00:00:00,data_crea,2003-01-04 00:00:00,41122
segnatura,SR,segnatura,SR,41121
noName,109 R,noName,109 R,41121
cod_sez,FL,cod_sez,FL,41121
n_s_sez,16,n_s_sez,16,41121
autore,"ROSSI, PAOLO",autore,"ROSSI, PAOLO",41121
edizione,IV,edizione,IV,41121
luogo_pub,BARI,luogo_pub,BARI,41121
editore,LATERZA,editore,LATERZA,41121
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41121
volume,2025-03-01 00:00:00,volume,2025-03-01 00:00:00,41121
pagine,335,pagine,335,41121
formato,20.5,formato,20.5,41121
collezion,FILOSOFIA,collezion,FILOSOFIA,41121
data_crea,2003-01-04 00:00:00,data_crea,2003-01-04 00:00:00,41121
segnatura,SR,segnatura,SR,41120
noName,109 P1,noName,109 P1,41120
cod_sez,FL,cod_sez,FL,41120
n_s_sez,16,n_s_sez,16,41120
autore,"PETRUZZELLIS, NICOLA",autore,"PETRUZZELLIS, NICOLA",41120
edizione,I,edizione,I,41120
luogo_pub,MESSINA,luogo_pub,MESSINA,41120
editore,PRINCIPATO,editore,PRINCIPATO,41120
data_pub,COPYRIGHT 1961,data_pub,COPYRIGHT 1961,41120
volume,2025-03-02 00:00:00,volume,2025-03-02 00:00:00,41120
pagine,144,pagine,144,41120
formato,21,formato,21,41120
collezion,FILOSOFIA,collezion,FILOSOFIA,41120
data_crea,2003-01-04 00:00:00,data_crea,2003-01-04 00:00:00,41120
segnatura,SR,segnatura,SR,41119
noName,109 P,noName,109 P,41119
cod_sez,FL,cod_sez,FL,41119
n_s_sez,16,n_s_sez,16,41119
autore,"PETRUZZELLIS, NICOLA",autore,"PETRUZZELLIS, NICOLA",41119
edizione,I,edizione,I,41119
luogo_pub,MESSINA,luogo_pub,MESSINA,41119
editore,PRINCIPATO,editore,PRINCIPATO,41119
data_pub,COPYRIGHT 1961,data_pub,COPYRIGHT 1961,41119
volume,2025-03-01 00:00:00,volume,2025-03-01 00:00:00,41119
pagine,208,pagine,208,41119
formato,21,formato,21,41119
collezion,FILOSOFIA,collezion,FILOSOFIA,41119
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41119
segnatura,SR,segnatura,SR,41118
noName,109 N2,noName,109 N2,41118
cod_sez,FL,cod_sez,FL,41118
n_s_sez,16,n_s_sez,16,41118
autore,"DI NAPOLI, GIOVANNI",autore,"DI NAPOLI, GIOVANNI",41118
edizione,V,edizione,V,41118
luogo_pub,TORINO,luogo_pub,TORINO,41118
editore,MARIETTI,editore,MARIETTI,41118
data_pub,COPYRIGHT 1964,data_pub,COPYRIGHT 1964,41118
volume,2025-03-03 00:00:00,volume,2025-03-03 00:00:00,41118
pagine,302,pagine,302,41118
formato,24,formato,24,41118
collezion,FILOSOFIA,collezion,FILOSOFIA,41118
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41118
segnatura,SR,segnatura,SR,41117
noName,109 N1,noName,109 N1,41117
cod_sez,FL,cod_sez,FL,41117
n_s_sez,16,n_s_sez,16,41117
autore,"DI NAPOLI, GIOVANNI",autore,"DI NAPOLI, GIOVANNI",41117
edizione,V,edizione,V,41117
luogo_pub,TORINO,luogo_pub,TORINO,41117
editore,MARIETTI,editore,MARIETTI,41117
data_pub,COPYRIGHT 1964,data_pub,COPYRIGHT 1964,41117
volume,2025-03-02 00:00:00,volume,2025-03-02 00:00:00,41117
pagine,268,pagine,268,41117
formato,24,formato,24,41117
collezion,FILOSOFIA,collezion,FILOSOFIA,41117
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41117
segnatura,SR,segnatura,SR,41116
noName,109 N,noName,109 N,41116
cod_sez,FL,cod_sez,FL,41116
n_s_sez,16,n_s_sez,16,41116
autore,"DI NAPOLI, GIOVANNI",autore,"DI NAPOLI, GIOVANNI",41116
edizione,V,edizione,V,41116
luogo_pub,TORINO,luogo_pub,TORINO,41116
editore,MARIETTI,editore,MARIETTI,41116
data_pub,COPYRIGHT 1964,data_pub,COPYRIGHT 1964,41116
volume,2025-03-01 00:00:00,volume,2025-03-01 00:00:00,41116
pagine,283,pagine,283,41116
formato,24,formato,24,41116
collezion,FILOSOFIA,collezion,FILOSOFIA,41116
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41116
segnatura,SR,segnatura,SR,41115
noName,109 M2,noName,109 M2,41115
cod_sez,FL,cod_sez,FL,41115
n_s_sez,16,n_s_sez,16,41115
autore,"MATHIEU, VITTORIO",autore,"MATHIEU, VITTORIO",41115
edizione,III,edizione,III,41115
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41115
editore,LA SCUOLA,editore,LA SCUOLA,41115
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41115
volume,2025-03-03 00:00:00,volume,2025-03-03 00:00:00,41115
pagine,400,pagine,400,41115
formato,22,formato,22,41115
collezion,FILOSOFIA,collezion,FILOSOFIA,41115
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41115
segnatura,SR,segnatura,SR,41114
noName,109 M1,noName,109 M1,41114
cod_sez,FL,cod_sez,FL,41114
n_s_sez,16,n_s_sez,16,41114
autore,"MATHIEU, VITTORIO",autore,"MATHIEU, VITTORIO",41114
edizione,III,edizione,III,41114
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41114
editore,LA SCUOLA,editore,LA SCUOLA,41114
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41114
volume,2025-03-02 00:00:00,volume,2025-03-02 00:00:00,41114
pagine,330,pagine,330,41114
formato,22,formato,22,41114
collezion,FILOSOFIA,collezion,FILOSOFIA,41114
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41114
segnatura,SR,segnatura,SR,41113
noName,109 M,noName,109 M,41113
cod_sez,FL,cod_sez,FL,41113
n_s_sez,16,n_s_sez,16,41113
autore,"MATHIEU, VITTORIO",autore,"MATHIEU, VITTORIO",41113
edizione,III,edizione,III,41113
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41113
editore,LA SCUOLA,editore,LA SCUOLA,41113
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41113
volume,2025-03-01 00:00:00,volume,2025-03-01 00:00:00,41113
pagine,351,pagine,351,41113
formato,22,formato,22,41113
collezion,FILOSOFIA,collezion,FILOSOFIA,41113
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41113
segnatura,SR,segnatura,SR,41112
noName,109 AC2,noName,109 AC2,41112
cod_sez,FL,cod_sez,FL,41112
n_s_sez,16,n_s_sez,16,41112
autore,"AGOSTI, MARCO",autore,"AGOSTI, MARCO",41112
collabor,VITTORIO CHIZZOLINI,collabor,VITTORIO CHIZZOLINI,41112
edizione,NV. ED.,edizione,NV. ED.,41112
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41112
editore,LA SCUOLA,editore,LA SCUOLA,41112
data_pub,COPYRIGHT 1961,data_pub,COPYRIGHT 1961,41112
volume,2025-05-05 00:00:00,volume,2025-05-05 00:00:00,41112
pagine,501,pagine,501,41112
formato,22,formato,22,41112
collezion,FILOSOFIA,collezion,FILOSOFIA,41112
data_crea,2003-01-03 00:00:00,data_crea,2003-01-03 00:00:00,41112
segnatura,SR,segnatura,SR,41111
noName,109 AC1,noName,109 AC1,41111
cod_sez,FL,cod_sez,FL,41111
n_s_sez,16,n_s_sez,16,41111
autore,"AGOSTI, MARCO",autore,"AGOSTI, MARCO",41111
collabor,VITTORIO CHIZZOLINI,collabor,VITTORIO CHIZZOLINI,41111
edizione,NV. ED.,edizione,NV. ED.,41111
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41111
editore,LA SCUOLA,editore,LA SCUOLA,41111
data_pub,COPYRIGHT 1961,data_pub,COPYRIGHT 1961,41111
volume,2025-05-03 00:00:00,volume,2025-05-03 00:00:00,41111
pagine,670,pagine,670,41111
formato,22,formato,22,41111
