n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,cod_isbn,cod_sez,collabor,data_crea,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,illustr,n_s_sez,noName,note_sp,pagine,segnatura,soggetto,volume
17710,,"SABA, AGOSTINO",1938,TORINO,U.T.E.T.,,OPAC SBN,0.940,Storici e artisti a Montecassino / [Agostino Saba],"Saba, Agostino",1938,https://opac.sbn.it/bid/FOG0205544,"{""bid"": ""IT\\ICCU\\FOG\\0205544""}",,SE,,1997-10-03 00:00:00,,ITALIANO,"Estr. da: Convivium, nov. 1938.","P. 637-642, [4] p. di tav. : ill. ; 24 cm",,,25.5,TAV.,6,"6/5,I",,"XIX,541",SE,,2025-01-01 00:00:00
17711,STORIA DELLA CHIESA. V. II: DAL POTERE TEMPORALE DEI PAPI A BONIFACI O VIII,"SABA, AGOSTINO",1940,TORINO,U.T.E.T.,,OPAC SBN,0.357,"Corso di religione ad uso delle scuole medie : Vol. V. Parte I. Storia della Chiesa. Parte II. La dottrina di Gesù Cristo. Storia, dogma, morale, Grazia. Con letture, commenti e preghiere","Miaglia, Maria",1937,https://opac.sbn.it/bid/CUB0453237,"{""bid"": ""IT\\ICCU\\CUB\\0453237""}",,SE,,1997-10-03 00:00:00,,ITALIANO,L. 9.,"8. p. VIII, 291",,,25.5,TAV.,6,"6/5,II",,"VIII,562",SE,,2025-01-01 00:00:00
17712,,"SABA, AGOSTINO",1943,TORINO,U.T.E.T.,,OPAC SBN,0.880,1: Da S. Pietro a Celestino 5. / Agostino Saba ; presentazione di s.e. Pietro Fedele,"Saba, Agostino",1936,https://opac.sbn.it/bid/BA10018598,"{""bid"": ""IT\\ICCU\\BA1\\0018598""}",,SE,,1997-10-03 00:00:00,,ITALIANO,,"VIII, 714 p., [16] carte di tav. : ill. ; 27 cm",,,25.5,TAV.,6,"6/5,III/1",PAGINAZIONE CONTINUA,"VII,527",SE,,2025-01-01 00:00:00
17713,,"SABA, AGOSTINO",1943,TORINO,U.T.E.T.,,OPAC SBN,0.880,1: Da S. Pietro a Celestino 5. / Agostino Saba ; presentazione di s.e. Pietro Fedele,"Saba, Agostino",1936,https://opac.sbn.it/bid/BA10018598,"{""bid"": ""IT\\ICCU\\BA1\\0018598""}",,SE,,1997-10-03 00:00:00,,ITALIANO,,"VIII, 714 p., [16] carte di tav. : ill. ; 27 cm",,,25.5,TAV.,6,"6/5,III/2",PAGINAZIONE CONTINUA,"IV,529-972",SE,,2025-01-01 00:00:00
17714,,,1963,ROMA,IST. GIOVANNI XXIII/CITTA` NUOVA,,NOT_FOUND,0.000,,,,,{},,SE,"PALAZZINI PIETRO,ED.",1997-10-03 00:00:00,,,,,,,21,,1,"1/7,I (I-VI)",,"XLVI,360",SE,,2025-06-01 00:00:00
17715,,,COPYRIGHT 1964,ROMA,IST. GIOVANNI XXIII/CITTA` NUOVA,,NOT_FOUND,0.000,,,,,{},,SE,"PALAZZINI PIETRO,ED.",1997-10-03 00:00:00,,,,,,,21,,1,"1/7,II",,"XXIII,370",SE,,2025-06-02 00:00:00
17716,,,COPYRIGHT 1965,ROMA,IST. GIOVANNI XXIII/CITTA` NUOVA,,NOT_FOUND,0.000,,,,,{},,SE,"PALAZZINI PIETRO,ED.",1997-10-03 00:00:00,,,,,,,21,,1,"1/7,III",,"XXIII,460",SE,,2025-06-03 00:00:00
17717,,,COPYRIGHT 1966,ROMA,IST. GIOVANNI XXIII/CITTA` NUOVA,,NOT_FOUND,0.000,,,,,{},,SE,"PALAZZINI PIETRO,ED.",1997-10-03 00:00:00,,,,,,,21,,1,"1/7,IV",,"XXIII,354",SE,,2025-06-04 00:00:00
17718,,,COPYRIGHT 1966,ROMA,IST. GIOVANNI XXIII/CITTA` NUOVA,,NOT_FOUND,0.000,,,,,{},,SE,"PALAZZINI PIETRO,ED.",1997-10-03 00:00:00,,,,,,,21,,1,"1/7,V",,"XXIII,432",SE,,2025-06-05 00:00:00
17719,,,COPYRIGHT 1967,ROMA,IST. GIOVANNI XXIII/CITTA` NUOVA,,NOT_FOUND,0.000,,,,,{},,SE,"PALAZZINI PIETRO,ED.",1997-10-03 00:00:00,,,,,,,21,,1,"1/7,VI",,"XXIII,415",SE,,2025-06-06 00:00:00
17720,,"MONTALEMBERT, CARLO DI",COPYRIGHT 1864,FIRENZE,TIP. DI S. ANTONINO,,OPAC SBN,0.672,Due lettere di Carlo de Montalembert ai redattori del giornale L'amico della religione,"Montalembert, Charles : Forbes de",1848,https://opac.sbn.it/bid/VEA1439202,"{""bid"": ""IT\\ICCU\\VEA\\1439202""}",,SE,"CARRARESI ALESSANDRO,TRAD.",1997-10-03 00:00:00,I,ITALIANO,Titolo dell'intitolazione | Data di stampa dedotta dal testo.,8 p. ; 23 cm,,,21,,12,"12/49,I (I-X)",,"VII,294",SE,,2025-10-01 00:00:00
17721,,"MONTALEMBERT, CARLO DI",1864,FIRENZE,TIP. DI S. ANTONINO,,OPAC SBN,0.672,Due lettere di Carlo de Montalembert ai redattori del giornale L'amico della religione,"Montalembert, Charles : Forbes de",1848,https://opac.sbn.it/bid/VEA1439202,"{""bid"": ""IT\\ICCU\\VEA\\1439202""}",,SE,"CARRARESI ALESSANDRO,TRAD.",1997-10-03 00:00:00,I,ITALIANO,Titolo dell'intitolazione | Data di stampa dedotta dal testo.,8 p. ; 23 cm,,,21,,12,"12/49,II",,"4 F.P.,324",SE,,2025-10-02 00:00:00
17722,,"MONTALEMBERT, CARLO DI",1865,FIRENZE,TIP. DI S. ANTONINO,,OPAC SBN,0.672,Due lettere di Carlo de Montalembert ai redattori del giornale L'amico della religione,"Montalembert, Charles : Forbes de",1848,https://opac.sbn.it/bid/VEA1439202,"{""bid"": ""IT\\ICCU\\VEA\\1439202""}",,SE,"CARRARESI ALESSANDRO,TRAD.",1997-10-03 00:00:00,I,ITALIANO,Titolo dell'intitolazione | Data di stampa dedotta dal testo.,8 p. ; 23 cm,,,21,,12,"12/49,III",,"4 F.P.,280",SE,,2025-10-03 00:00:00
17723,,"MONTALEMBERT, CARLO DI",1865,FIRENZE,TIP. DI S. ANTONINO,,OPAC SBN,0.672,Due lettere di Carlo de Montalembert ai redattori del giornale L'amico della religione,"Montalembert, Charles : Forbes de",1848,https://opac.sbn.it/bid/VEA1439202,"{""bid"": ""IT\\ICCU\\VEA\\1439202""}",,SE,"CARRARESI ALESSANDRO,TRAD.",1997-10-03 00:00:00,I,ITALIANO,Titolo dell'intitolazione | Data di stampa dedotta dal testo.,8 p. ; 23 cm,,,21,,12,"12/49,IV",,"4 F.P.,446",SE,,2025-10-04 00:00:00
