n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,cod_isbn,cod_sez,collabor,data_crea,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,illustr,n_s_sez,noName,note_sp,pagine,segnatura,soggetto,volume
47127,,"PRONZATO, ALESSANDRO",COPYRIGHT 2001,TORINO,GRIBAUDI,,OPAC SBN,0.940,Vangeli scomodi / Alessandro Pronzato,"Pronzato, Alessandro",2000,https://opac.sbn.it/bid/PA10032337,"{""bid"": ""IT\\ICCU\\PA1\\0032337""}",,SP,,2009-07-02 00:00:00,I,ITALIANO,,341 p. ; 22 cm.,,,21,,16,242(L P89,,287,SR,,2025-01-01 00:00:00
47128,,"PRONZATO, ALESSANDRO",COPYRIGHT 1986,TORINO,GRIBAUDI,,OPAC SBN,0.940,Vangeli scomodi / Alessandro Pronzato,"Pronzato, Alessandro",1986,https://opac.sbn.it/bid/BRI0021716,"{""bid"": ""IT\\ICCU\\BRI\\0021716""}",,SP,,2009-07-02 00:00:00,I,ITALIANO,,341 p. ; 21 cm.,,,21,,16,242(L P90,,307,SR,,2025-01-01 00:00:00
47129,,"PRONZATO, ALESSANDRO",COPYRIGHT 1988,TORINO,GRIBAUDI,,OPAC SBN,0.940,Voglia di pregare / Alessandro Pronzato,"Pronzato, Alessandro",1987,https://opac.sbn.it/bid/LIA0009348,"{""bid"": ""IT\\ICCU\\LIA\\0009348""}",,SP,,2009-07-02 00:00:00,I,ITALIANO,,307 p. ; 21 cm.,,,21,,16,242(L P91,,310,SR,,2025-01-01 00:00:00
47130,,"DZIWISZ, STANISLAO",COPYRIGHT 2007,MILANO,RIZZOLI,,OPAC SBN,0.840,Una vita con Karol : conversazione con Gian Franco Svidercoschi / Stanislao Dziwisz,"Dziwisz, Stanisław",2007,https://opac.sbn.it/bid/PBE0183908,"{""bid"": ""IT\\ICCU\\PBE\\0183908""}",,SE,,2009-07-02 00:00:00,IV,ITALIANO,,224 p. ; 23 cm,,,21,,30,922 D2,,221,SR,,2025-01-01 00:00:00
47131,,"TENTORI, ANGELO MARIA",COPYRIGHT 2002,MILANO,PAOLINE,,OPAC SBN,0.880,La tutta misericordiosa : le apparizioni di Pellevoisin / Angelo Maria Tentori,"Tentori, Angelo Maria",2006,https://opac.sbn.it/bid/TO01599033,"{""bid"": ""IT\\ICCU\\TO0\\1599033""}",,TD,,2009-07-02 00:00:00,I,ITALIANO,,221 p. ; 20 cm.,,,21,FOTO,20,232.91 T5,,157,SR,,2025-01-01 00:00:00
47132,,,COPYRIGHT 1992,MILANO,PAOLINE,,NOT_FOUND,0.000,,,,,{},,TD,DI GIANFRANCO FORTI,2009-07-02 00:00:00,I,,,,,,20,,20,232.91 F18,,324,SR,,2025-01-01 00:00:00
47133,,,COPYRIGHT 1995,MILANO,PAOLINE,,NOT_FOUND,0.000,,,,,{},,TD,PEDICO M.M.,2009-07-02 00:00:00,III,,,,,,20,,20,232.91 P31,,240,SR,,2025-01-01 00:00:00
47134,,GIOVANNI PAOLO II,COPYRIGHT 2004,NAPOLI,CHIRICO,,OPAC SBN,0.672,"BSocial : bilancio sociale anno 2008 / Fondazione onlus Giovanni Paolo 2. : attività, risultati, trasparenza, interlocutori",Fondazione Giovanni Paolo II,2009,https://opac.sbn.it/bid/LEK0021279,"{""bid"": ""IT\\ICCU\\LEK\\0021279""}",,TD,,2009-07-02 00:00:00,I,ITALIANO,,64. p. : ill. ; 30 cm,,,21,,20,232.91 GP3,,235,SR,,4/B
47135,,GIOVANNI PAOLO II,COPYRIGHT 2004,NAPOLI,CHIRICO,,OPAC SBN,0.672,"BSocial : bilancio sociale anno 2008 / Fondazione onlus Giovanni Paolo 2. : attività, risultati, trasparenza, interlocutori",Fondazione Giovanni Paolo II,2009,https://opac.sbn.it/bid/LEK0021279,"{""bid"": ""IT\\ICCU\\LEK\\0021279""}",,TD,,2009-07-02 00:00:00,I,ITALIANO,,64. p. : ill. ; 30 cm,,,21,,20,232.91 GP4,,190,SR,,4/C
47136,,,COPYRIGHT 2008,VERDELLO(BG),GAMBA,,NOT_FOUND,0.000,,,,,{},,SP,FRANCOISE,2009-07-02 00:00:00,I,,,,,,21,,16,242(S F13,,223,SR,,2025-01-01 00:00:00
